ts,Close,High,Low,Open,Volume,ma8,ma10,ma21,ma50,ma100,ma200,ema8,ema21,ema34,ema55,ema89,ema144,ema200,rsi21,macd,macd_sig,macd_hist,vma10,rvol10,vwap,atr14
2026-09-08 13:45:00-04:00,316.03,316.3,315.941,316.26,478644,316.0631,316.1,316.8544,320.0725,323.3262,320.7417,316.1806,317.1257,318.3247,319.7955,320.841,320.7888,320.0493,33.2987,-1.2185,-1.4373,0.2188,589300.3,0.8122,316.5399,0.8036
2026-09-08 14:00:00-04:00,316.325,316.52,315.97,316.025,486123,316.1544,316.091,316.5944,319.8611,323.2316,320.7693,316.2127,317.0529,318.2104,319.6716,320.7406,320.7272,320.0122,35.5162,-1.1324,-1.3764,0.2439,565200.3,0.8601,316.5326,0.7855
2026-09-08 14:15:00-04:00,316.39,316.74,315.95,316.33,695950,316.1925,316.122,316.3901,319.6451,323.1398,320.7931,316.2521,316.9927,318.1064,319.5544,320.6439,320.6674,319.9762,36.0084,-1.0469,-1.3105,0.2636,569883.4,1.2212,316.5262,0.7858
2026-09-08 14:30:00-04:00,315.47,316.53,315.38,316.395,900952,316.115,316.1095,316.1749,319.4075,323.0409,320.8194,316.0783,316.8543,317.9557,319.4085,320.529,320.5957,319.9313,32.34,-1.0414,-1.2566,0.2153,590369.0,1.5261,316.4923,0.8118
2026-09-08 14:45:00-04:00,315.53,315.98,314.92,315.4688,1168535,316.0575,316.054,316.0802,319.1622,322.9448,320.843,315.9564,316.7339,317.8171,319.27,320.4179,320.5259,319.8875,32.8087,-1.0204,-1.2094,0.189,635096.5,1.8399,316.4348,0.8296
2026-09-08 15:00:00-04:00,316.09,316.53,315.35,315.52,871956,316.0456,316.054,316.0416,318.9283,322.8512,320.859,315.9861,316.6753,317.7184,319.1564,320.3217,320.4647,319.8498,37.0805,-0.9476,-1.157,0.2094,667721.0,1.3059,316.4167,0.8546
2026-09-08 15:15:00-04:00,315.8,316.09,315.525,316.09,753606,315.9869,316.035,316.0376,318.6801,322.7573,320.871,315.9448,316.5958,317.6088,319.0366,320.2212,320.4003,319.8095,35.8414,-0.9029,-1.1062,0.2033,690394.9,1.0916,316.396,0.8339
2026-09-08 15:30:00-04:00,316.18,316.36,315.525,315.8001,896403,315.9769,316.0345,316.0618,318.5073,322.6792,320.8783,315.997,316.558,317.5272,318.9345,320.1314,320.3421,319.7733,38.6614,-0.8273,-1.0504,0.2231,726778.1,1.2334,316.3815,0.834
2026-09-08 15:45:00-04:00,316.35,316.69,315.7,316.2,2735174,316.0169,316.0425,316.0742,318.3604,322.597,320.8868,316.0755,316.5391,317.4599,318.8422,320.0474,320.2871,319.7393,39.9023,-0.7451,-0.9894,0.2443,956432.5,2.8598,316.3673,0.8451
2026-09-09 09:30:00-04:00,315.8501,316.21,315.055,315.4106,2868314,315.9575,316.0015,316.0683,318.2532,322.5082,320.8922,316.0254,316.4764,317.3679,318.7354,319.9541,320.2259,319.7006,37.5566,-0.7121,-0.9339,0.2218,1185565.7,2.4194,315.705,0.8773
2026-09-09 09:45:00-04:00,317.8749,318.0,315.5,315.85,1654993,316.1431,316.186,316.148,318.1965,322.4408,320.9076,316.4364,316.6036,317.3969,318.7046,319.9079,320.1934,319.6824,50.046,-0.5166,-0.8505,0.3339,1303200.6,1.2699,316.2246,0.9932
2026-09-09 10:00:00-04:00,315.535,318.13,315.51,317.86,1732704,316.1512,316.107,316.114,318.1066,322.3516,320.9118,316.2361,316.5064,317.2905,318.5914,319.8107,320.1292,319.6411,40.2722,-0.5442,-0.7892,0.245,1427858.7,1.2135,316.2708,1.1094
2026-09-09 10:15:00-04:00,314.75,315.69,314.33,315.535,1553908,316.0537,315.943,316.0348,318.0328,322.2336,320.9127,315.9058,316.3467,317.1453,318.4543,319.6983,320.055,319.5925,37.68,-0.6222,-0.7558,0.1336,1513654.5,1.0266,316.0027,1.1273
2026-09-09 10:30:00-04:00,313.24,314.7101,312.95,314.71,1484572,315.6975,315.72,315.8995,317.9119,322.1148,320.9052,315.3134,316.0643,316.9221,318.268,319.5547,319.961,319.5293,33.345,-0.7967,-0.764,-0.0327,1572016.5,0.9444,315.6243,1.1753
2026-09-09 10:45:00-04:00,313.375,313.75,313.11,313.22,1170710,315.3944,315.5045,315.7938,317.79,321.9985,320.897,314.8827,315.8198,316.7195,318.0933,319.4174,319.8701,319.468,34.0572,-0.9136,-0.7939,-0.1197,1572234.0,0.7446,315.3768,1.1371
2026-09-09 11:00:00-04:00,312.22,313.4225,312.17,313.39,1498282,314.8994,315.1175,315.6098,317.6276,321.8677,320.8835,314.291,315.4926,316.4623,317.8835,319.2575,319.7646,319.3959,31.0746,-1.0869,-0.8525,-0.2344,1634866.6,0.9165,315.0295,1.1453
2026-09-09 11:15:00-04:00,312.5026,312.7634,312.11,312.225,1085506,314.4184,314.7878,315.4389,317.4575,321.746,320.8697,313.8935,315.2208,316.2361,317.6913,319.1074,319.6645,319.3273,32.5912,-1.1877,-0.9195,-0.2682,1668056.6,0.6508,314.8157,1.1102
2026-09-09 11:30:00-04:00,313.29,313.589,312.22,312.51,1444865,314.0984,314.4988,315.3104,317.3023,321.625,320.8627,313.7594,315.0452,316.0677,317.5341,318.9781,319.5765,319.2673,36.6683,-1.1904,-0.9737,-0.2167,1722902.8,0.8386,314.638,1.1287
2026-09-09 11:45:00-04:00,313.175,313.6,312.9201,313.2496,971106,313.5109,314.1813,315.167,317.1558,321.4956,320.8544,313.6296,314.8752,315.9024,317.3785,318.8491,319.4882,319.2066,36.3312,-1.1881,-1.0166,-0.1715,1546496.0,0.6279,314.5497,1.0966
