ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2024-12-19 10:30:00-05:00,234.93,239.46,239.56,239.46,241.51,17.6,10,1d+1h+4h,1.032,False,nofill,0.0
2024-12-19 11:30:00-05:00,233.04,239.14,239.24,239.14,241.21,17.6,10,1d+1h+4h,1.389,False,nofill,0.0
2024-12-19 12:30:00-05:00,234.0,239.46,239.55,239.46,241.48,17.6,10,1d+1h+4h,1.244,False,nofill,0.0
2024-12-19 13:30:00-05:00,233.44,239.34,239.43,239.34,241.33,17.6,10,1d+1h+4h,1.345,False,nofill,0.0
2024-12-19 14:30:00-05:00,233.58,239.39,239.48,239.39,241.32,17.6,10,1d+1h+4h,1.324,False,nofill,0.0
2024-12-19 15:30:00-05:00,233.05,239.14,239.23,239.14,241.03,17.6,10,1d+1h+4h,1.388,False,nofill,0.0
2024-12-20 09:30:00-05:00,236.16,238.64,238.74,238.64,240.74,18.6,11,1d+1h+4h,0.54,True,scratch,-0.10187688457918842
2024-12-20 10:30:00-05:00,237.76,238.64,238.74,238.64,240.74,18.6,11,1d+1h+4h,0.192,True,scratch,-0.10182966379429503
2024-12-20 11:30:00-05:00,238.9,239.14,239.24,239.14,241.21,17.6,10,1d+1h+4h,0.053,False,nofill,0.0
2024-12-20 12:30:00-05:00,237.68,238.64,238.74,238.64,240.68,18.6,11,1d+1h+4h,0.209,True,scratch,-0.10070461467789338
2024-12-20 13:30:00-05:00,238.42,238.76,238.85,238.76,240.74,17.6,10,1d+1h+4h,0.075,True,scratch,-0.09941587937339902
2024-12-20 14:30:00-05:00,238.18,238.64,238.73,238.64,240.56,19.6,12,1d+1h+4h,0.1,True,scratch,-0.09815800833089527
2024-12-20 15:30:00-05:00,237.7,238.64,238.73,238.64,240.57,19.6,12,1d+1h+4h,0.204,False,nofill,0.0
2024-12-23 09:30:00-05:00,235.72,238.64,238.74,238.64,240.64,19.6,12,1d+1h+4h,0.644,False,nofill,0.0
2024-12-23 10:30:00-05:00,235.68,238.64,238.73,238.64,240.6,19.6,12,1d+1h+4h,0.652,False,nofill,0.0
2024-12-23 11:30:00-05:00,237.27,238.64,238.73,238.64,240.61,20.6,13,1d+1h+4h,0.302,False,nofill,0.0
2024-12-23 12:30:00-05:00,237.75,238.64,238.73,238.64,240.52,20.6,13,1d+1h+4h,0.196,False,nofill,0.0
2024-12-23 13:30:00-05:00,236.89,238.64,238.73,238.64,240.49,20.6,13,1d+1h+4h,0.386,True,target,0.6780622592714503
2024-12-23 14:30:00-05:00,237.25,238.64,238.72,238.64,240.42,20.6,13,1d+1h+4h,0.307,True,target,0.6483802733192379
2024-12-23 15:30:00-05:00,238.27,238.64,238.72,238.64,240.39,20.6,13,1d+1h+4h,0.082,True,target,0.6387533921357713
2024-12-24 09:30:00-05:00,240.87,248.34,248.43,248.34,250.18,12.4,10,1h+4h,1.664,False,nofill,0.0
2024-12-24 10:30:00-05:00,241.18,248.34,248.43,248.34,250.13,12.4,10,1h+4h,1.596,False,nofill,0.0
2024-12-24 11:30:00-05:00,241.9,248.34,248.42,248.34,250.08,12.4,10,1h+4h,1.434,False,nofill,0.0
2024-12-26 09:30:00-05:00,241.64,248.34,248.42,248.34,250.08,12.4,10,1h+4h,1.544,False,nofill,0.0
2024-12-26 10:30:00-05:00,241.87,248.34,248.42,248.34,250.01,12.4,10,1h+4h,1.49,False,nofill,0.0
2024-12-26 11:30:00-05:00,242.47,248.0,248.08,248.0,249.62,12.4,10,1h+4h,1.275,False,nofill,0.0
2024-12-26 12:30:00-05:00,242.71,248.34,248.41,248.34,249.9,12.4,10,1h+4h,1.297,False,nofill,0.0
2024-12-26 13:30:00-05:00,242.19,248.34,248.41,248.34,249.84,12.4,10,1h+4h,1.417,False,nofill,0.0
2024-12-26 14:30:00-05:00,242.49,248.0,248.07,248.0,249.43,12.4,10,1h+4h,1.27,False,nofill,0.0
2024-12-26 15:30:00-05:00,243.1,247.96,248.03,247.96,249.36,12.4,10,1h+4h,1.12,False,nofill,0.0
2024-12-27 09:30:00-05:00,241.12,248.0,248.07,248.0,249.47,12.4,10,1h+4h,1.615,False,nofill,0.0
2024-12-27 10:30:00-05:00,241.37,248.34,248.41,248.34,249.81,12.4,10,1h+4h,1.636,False,nofill,0.0
2024-12-27 11:30:00-05:00,240.44,248.0,248.07,248.0,249.48,12.4,10,1h+4h,1.775,False,nofill,0.0
2024-12-27 12:30:00-05:00,240.63,248.34,248.41,248.34,249.77,12.4,10,1h+4h,1.81,False,nofill,0.0
2024-12-27 13:30:00-05:00,241.45,248.34,248.41,248.34,249.76,12.4,10,1h+4h,1.617,False,nofill,0.0
2024-12-27 14:30:00-05:00,241.03,248.0,248.07,248.0,249.4,12.4,10,1h+4h,1.636,False,nofill,0.0
