ts,close,level,buy_price,stop,target,score,n_events,tfs,dist_atr,filled,outcome,ret_pct
2025-08-26 14:30:00-04:00,499.83,500.7,500.8,500.7,502.8,19.0,13,1d+1h+4h,0.108,True,scratch,-0.07994653570174703
2025-08-26 15:30:00-04:00,501.93,502.72,502.83,502.72,505.03,17.4,11,1d+1h+4h,0.098,True,target,0.37743549934257103
2025-08-27 09:30:00-04:00,504.14,511.2,511.32,511.2,513.66,15.6,10,1d+1h+4h,0.882,False,nofill,0.0
2025-08-27 10:30:00-04:00,504.5,511.91,512.02,511.91,514.32,15.6,10,1d+1h+4h,0.926,False,nofill,0.0
2025-08-27 11:30:00-04:00,504.03,510.73,510.84,510.73,513.07,15.6,10,1d+1h+4h,0.837,False,nofill,0.0
2025-08-27 12:30:00-04:00,505.37,510.67,510.78,510.67,512.97,15.6,10,1d+1h+4h,0.662,False,nofill,0.0
2025-08-27 13:30:00-04:00,506.72,510.67,510.78,510.67,512.92,15.6,10,1d+1h+4h,0.493,False,nofill,0.0
2025-08-27 14:30:00-04:00,505.97,510.67,510.78,510.67,512.9,15.6,10,1d+1h+4h,0.587,False,nofill,0.0
2025-08-27 15:30:00-04:00,506.68,510.67,510.77,510.67,512.84,15.6,10,1d+1h+4h,0.499,False,nofill,0.0
2025-08-28 09:30:00-04:00,506.03,510.73,510.84,510.73,513.1,15.6,10,1d+1h+4h,0.6,False,nofill,0.0
2025-08-28 10:30:00-04:00,507.23,511.2,511.31,511.2,513.61,15.6,10,1d+1h+4h,0.507,False,nofill,0.0
2025-08-28 11:30:00-04:00,508.97,510.67,510.78,510.67,513.05,15.6,10,1d+1h+4h,0.217,False,nofill,0.0
2025-08-28 12:30:00-04:00,508.62,510.67,510.78,510.67,512.99,16.6,11,1d+1h+4h,0.261,True,scratch,-0.08159407560959231
2025-08-28 13:30:00-04:00,509.12,510.67,510.78,510.67,512.93,16.6,11,1d+1h+4h,0.198,True,scratch,-0.08099384739662652
2025-08-28 14:30:00-04:00,509.72,510.67,510.77,510.67,512.84,16.6,11,1d+1h+4h,0.122,True,scratch,-0.08021291643334205
2025-08-28 15:30:00-04:00,509.66,510.67,510.77,510.67,512.8,16.6,11,1d+1h+4h,0.129,False,nofill,0.0
2025-08-29 09:30:00-04:00,506.08,510.67,510.78,510.67,513.04,16.6,11,1d+1h+4h,0.601,False,nofill,0.0
2025-08-29 10:30:00-04:00,508.12,510.67,510.79,510.67,513.07,16.6,11,1d+1h+4h,0.334,False,nofill,0.0
2025-08-29 11:30:00-04:00,507.43,510.67,510.78,510.67,512.98,16.6,11,1d+1h+4h,0.425,False,nofill,0.0
2025-08-29 12:30:00-04:00,508.1,510.67,510.78,510.67,512.93,16.6,11,1d+1h+4h,0.337,False,nofill,0.0
