ticker,strategy,side,grade,train_n,train_win_rate,train_avg_win_R,train_expectancy_R,train_profit_factor,train_max_dd_R,test_n,test_win_rate,test_avg_win_R,test_expectancy_R,test_profit_factor,test_max_dd_R
MA,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MA,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,3,0.3333333333333333,1.9596858004456834,-0.05317408066229312,0.9247255395445888,2.1192080424325628
MA,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MA,breakout,short,B (thin),1,0.0,0.0,-1.0196710841993797,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
MA,retest,long,B (thin),7,0.14285714285714285,1.9718873375097503,-0.6383108941392902,0.30619066224533514,5.3906107480302925,0,0.0,0.0,0.0,0.0,0.0
MA,retest,short,B (thin),6,0.3333333333333333,1.9707502438981075,-0.03324097662083995,0.9518356812701939,2.1648230588151947,4,0.25,1.04781676745287,-0.5216534046516759,0.3342925630484731,3.1344303860595737
INTC,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
INTC,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
INTC,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
INTC,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
INTC,retest,long,B (thin),8,0.125,1.9725000112196929,-0.6432108694875016,0.2771070808242401,4.130592473091676,3,0.0,0.0,-1.0118742552765194,0.0,2.023241356909545
INTC,retest,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ORCL,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ORCL,pullback,short,B (thin),1,0.0,0.0,-1.0363428711736238,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ORCL,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ORCL,breakout,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ORCL,retest,long,B (thin),4,0.25,1.9709685884434869,-0.27757320357375065,0.6396628947780207,1.0303072486445475,0,0.0,0.0,0.0,0.0,0.0
ORCL,retest,short,B (thin),4,0.5,1.984892590582192,0.47747760109698284,1.9271973354500682,1.0477800660689824,3,0.0,0.0,-1.0177616395971418,0.0,2.0408923469739344
ABBV,pullback,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.9371461743577347,1.9371461743577347,99.0,0.0
ABBV,pullback,short,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ABBV,breakout,long,B (thin),0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
