strategy,side,adx_min,exit,train_n,train_wr,train_exp,train_pf,train_mae,train_mfe,test_n,test_wr,test_exp,test_pf,test_mae,test_mfe
breakout,long,25,trail2.5,42,0.30952380952380953,0.8729050314493003,2.294618273219754,-1.420733437657136,3.398946669371168,20,0.3,0.008978597104189778,1.0122520340780707,-1.6172236934742397,2.979911706800195
breakout,long,25,trail3.0,42,0.2857142857142857,0.8424330558181752,2.175929527774635,-1.4326817331199397,3.459447695479595,20,0.25,0.3625621507040075,1.4773219620828488,-1.6172236934742397,3.5682916664617927
breakout,short,0,fixed2.0,358,0.31564245810055863,-0.09956216428299866,0.8588301417744441,-0.1564339892731839,0.2799519951307851,169,0.3136094674556213,-0.10485439803768075,0.8510493211992767,-0.13444151066364474,0.24941394345116524
breakout,short,0,fixed3.0,358,0.2541899441340782,-0.08033101451316332,0.8950135675637113,-0.18254622330628442,0.4854479329220386,169,0.24260355029585798,-0.12399312534703226,0.8404934455763957,-0.14540804700530258,0.4066479320579051
breakout,short,0,trail2.5,357,0.19887955182072828,-0.17591164916800373,0.7921352981562965,-0.17088430361270257,1.2501865786048383,168,0.19642857142857142,-0.25004998671872186,0.7024898382941596,-0.13599803384610049,1.1661888341547142
breakout,short,0,trail3.0,357,0.19047619047619047,-0.07602433979933763,0.9116547568467975,-0.18196177289448476,1.4409389430125827,168,0.17857142857142858,-0.23085400197906644,0.7363948383876653,-0.13956279906529348,1.3009029260131595
breakout,short,20,fixed2.0,140,0.32857142857142857,-0.055501269595007535,0.9197434362413923,-0.15314292661322598,0.28306428647490556,70,0.3,-0.13367253093955483,0.8152885447178354,-0.11401027660101251,0.24844130758981361
breakout,short,20,fixed3.0,140,0.2571428571428571,-0.08047420437616647,0.8935692533544377,-0.1663489909512658,0.49102857867946553,70,0.22857142857142856,-0.13668563985729767,0.8286878207701991,-0.12110086459067743,0.43778755466553587
breakout,short,20,trail2.5,140,0.21428571428571427,-0.05723355151992082,0.9287694109113187,-0.14944426070793757,1.319477941162704,69,0.2028985507246377,-0.11023571571898858,0.8657774966716076,-0.11062045875734332,1.2705698596702597
breakout,short,20,trail3.0,140,0.19285714285714287,0.11370397205258063,1.1378606087432477,-0.1625820070886775,1.5391569386500417,69,0.2028985507246377,-0.1655668334084572,0.8039066812515807,-0.11062045875734332,1.343417405769494
breakout,short,25,fixed2.0,60,0.2833333333333333,-0.1776517120616689,0.7584539922509974,-0.1736042141203287,0.23526243590726015,30,0.3,-0.13436008612414826,0.8146021708917803,-0.10531560591994497,0.14946871271892537
breakout,short,25,fixed3.0,60,0.21666666666666667,-0.17522179215592168,0.7820030008520666,-0.19380866034836633,0.3959369801473757,30,0.2,-0.2747240069322148,0.668241209420095,-0.11603787770283452,0.3839177904317111
breakout,short,25,trail2.5,60,0.16666666666666666,-0.17447677944492135,0.8005222985045745,-0.18856361068226196,1.0857570304592106,30,0.2,-0.2681772800809371,0.6815643805148941,-0.09880669046147193,1.1055997715224022
